timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716099816833,11,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099816845,12,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099816857,11,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099816869,11,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099816881,10,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099817761,12,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,1
1716099817774,11,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099817785,10,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099817796,10,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099817806,19,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,19,0,0
1716099817825,9,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099817835,9,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099817845,10,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099817856,9,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099817865,9,HTTP Request,200,,Thread Group 3 3-3,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099818761,13,HTTP Request,200,,Thread Group 3 3-4,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,13,0,1
